herd,herd_num,sight_grp,demog_grp,baci_grp
A La Peche,1,1,1,1
Banff,2,6,1,1
Barkerville,3,5,7,6
Brazeau,4,6,1,1
Burnt Pine,5,3,2,2
Central Rockies,6,8,4,3
Charlotte Alplands,7,2,5,4
Chase,8,3,3,2
Columbia North,9,8,4,3
Columbia South,10,8,4,3
Duncan,11,8,4,3
Frisby-Boulder,12,8,4,3
George Mountain,13,5,7,6
Graham,14,3,3,2
Groundhog,15,8,4,3
Hart North,16,4,7,6
Hart South,17,4,7,6
Itcha-Ilgachuz,18,2,5,4
Kennedy Siding,19,3,2,2
Klinse-Za,20,3,2,2
Maligne,21,6,1,1
Monashee,22,8,6,5
Nakusp,23,8,4,3
Narraway AB,24,3,1,1
Narraway BC,25,3,1,1
Narrow Lake,26,5,7,6
North Cariboo,27,5,7,6
Purcells Central,28,7,6,5
Purcells South,29,7,6,5
Quintette,30,3,2,2
Rainbows,31,2,5,4
Redrock/Prairie Creek,32,1,1,1
South Selkirks,33,7,6,5
Takla,34,3,3,4
Telkwa,35,2,5,4
Tonquin,36,1,1,1
Tweedsmuir,37,2,5,4
Wells Gray North,38,4,7,6
Wells Gray South,39,4,4,3
Wolverine,40,3,3,4
