herd,est,se,sd
Barkerville,0.8108108108108109,0.06438831518199857,0.06438831518199857
Brazeau,0.7567567567567568,0.07053386532986594,0.07053386532986594
Burnt Pine,1,0,0
Central Rockies,1,0,0
Charlotte Alplands,1,0,0
Chase,0.8532110091743119,0.03389703553897986,0.03389703553897986
Columbia North,0.9325842696629213,0.026578450686619973,0.026578450686619973
Columbia South,0.9130434782608695,0.0415449167785178,0.0415449167785178
Duncan,0.8709677419354839,0.04257496887716709,0.04257496887716709
Frisby-Boulder,0.8421052631578947,0.08365467518305542,0.08365467518305542
Graham,0.3220338983050847,0.060831535455634245,0.060831535455634245
Groundhog,1,0,0
Hart North,0.8151260504201681,0.03558580261073649,0.03558580261073649
Hart South,0.9605263157894737,0.022335808064917095,0.022335808064917095
Itcha-Ilgachuz,0.6861538461538461,0.025741122177566397,0.025741122177566397
Kennedy Siding,0.8260869565217391,0.0790341964475118,0.0790341964475118
Klinse-Za,0.8857142857142857,0.05377851132081831,0.05377851132081831
Maligne,0.6551724137931034,0.0882632273954608,0.0882632273954608
Monashee,1,0,0
Nakusp,0.9047619047619048,0.03202822424450234,0.03202822424450234
Narrow Lake,1,0,0
North Cariboo,0.4864864864864865,0.08216946643938353,0.08216946643938353
Purcells Central,0.8181818181818182,0.11629129983033296,0.11629129983033296
Purcells South,0.8333333333333334,0.06804138174397716,0.06804138174397716
Quintette,0.6025641025641025,0.055409964491404624,0.055409964491404624
Rainbows,0.8260869565217391,0.05588561625366534,0.05588561625366534
South Selkirks,0.7727272727272727,0.08934606739851096,0.08934606739851096
Telkwa,1,0,0
Tweedsmuir,0,0,0
Wells Gray North,0.8962962962962963,0.026239529910795697,0.026239529910795697
Wolverine,0.9037037037037037,0.02538931236445939,0.02538931236445939
A La Peche,0.9,NA,0.05
Narraway AB,0.9,NA,0.05
Redrock/Prairie Creek,0.9,NA,0.05
