herd,median,size,yr.min,yr.max,extirpated,dur
A La Peche,0.9846976984696223,162.800954616688,2000,2006,Extant,6
Banff,0.9214383484663583,3.8690120404607575,2000,2002,Func-extirpated,2
Barkerville,0.9817435479796827,45.23209026046693,2000,2021,Extant,21
Brazeau,0.9862397263092622,10.474957165084241,2000,2021,Extant,21
Burnt Pine,0.3906153667868017,1.109591414311395,2003,2012,Func-extirpated,9
Central Rockies,0.7035445956450087,2.6036530127694064,2000,2003,Func-extirpated,3
Central Selkirks,0.9407695523123665,29.45921141269249,2000,2020,Extant,20
Charlotte Alplands,1.002370980847287,20.690193765219306,2000,2021,Extant,21
Chase,1.0256204173633625,509.493205868783,2000,2021,Extant,21
Columbia North,0.9686108496773538,153.92364083918807,2000,2004,Extant,4
Columbia South,0.9456597717158755,41.32474065338517,2000,2004,Extant,4
Frisby-Boulder,0.9592484436266787,21.184652397422774,2000,2004,Func-extirpated,4
George Mountain,0.8155296180533875,3.778928923452584,2000,2001,Func-extirpated,1
Graham,0.9894814350525111,108.2043478635195,2000,2020,Extant,20
Hart North,1.0148438256495727,189.15344308499976,2003,2006,Extant,3
Hart South,1.026164859029998,235.58594013805973,2000,2020,Extant,20
Itcha-Ilgachuz,0.9556646172455886,545.2020331949929,2000,2019,Extant,19
Kennedy Siding,0.9655373339727191,52.60708569312406,2000,2014,Extant,14
Klinse-Za,0.9422832770135046,24.219537420761345,2000,2013,Extant,13
Maligne,0.8221589688927202,2.310835760197575,2000,2014,Func-extirpated,14
Monashee,0.9790489320510195,3.9103272721922306,2000,2011,Func-extirpated,11
Narraway AB,0.9552268726198275,59.17453271044338,2003,2016,Extant,13
Narraway BC,1.0286052684948603,248.63442350683871,2007,2021,Extant,14
Narrow Lake,0.9584457838033994,20.705476363986207,2000,2021,Extant,21
North Cariboo,0.991890976717598,173.94680882536625,2000,2021,Extant,21
Purcells Central,0.24657005259372425,1.0495140122713504,2000,2005,Func-extirpated,5
Purcells South,0.9515525551367635,7.330593439860255,2000,2021,Func-extirpated,21
Quintette,0.9822681377659335,87.06551457762865,2003,2015,Extant,12
Rainbows,0.9609425456389695,35.55856516946143,2000,2021,Extant,21
Redrock/Prairie Creek,0.9686947319490495,132.00812715838325,2000,2015,Extant,15
South Selkirks,0.9553121327367848,19.36839153553516,2000,2015,Func-extirpated,15
Takla,0.994194314716852,51.8713097866501,2000,2021,Extant,21
Telkwa,0.9937794570899897,15.25631231716697,2000,2021,Extant,21
Tonquin,0.839453150077966,10.310556334741538,2004,2021,Extant,17
Tweedsmuir,0.9790662639936799,60.97559586802045,2000,2021,Extant,21
Wells Gray North,0.9977680122229957,175.5518174306871,2000,2021,Extant,21
Wells Gray South,1.0262448344233772,161.1331093969128,2000,2021,Extant,21
Wolverine,1.0042505068544012,282.0409094613401,2000,2021,Extant,21
