herd,median,yr.min,yr.max,extirpated,dur
A La Peche,0.9766940278710928,1999,2006,Extant,7
Banff,0.6627309497263524,1987,2008,Func-extirpated,21
Barkerville,0.9831014719444465,1988,2021,Extant,33
Brazeau,0.9587787467572524,1989,2021,Extant,32
Burnt Pine,0.38754135005588236,2003,2012,Func-extirpated,9
Central Rockies,0.5921294510807511,1996,2003,Func-extirpated,7
Central Selkirks,0.9293226417082274,1992,2020,Extant,28
Charlotte Alplands,0.961347224776684,1994,2021,Extant,27
Chase,1.0037145320785998,1992,2021,Extant,29
Columbia North,0.9692359155143705,1992,2004,Extant,12
Columbia South,0.9240305689132557,1992,2004,Extant,12
Frisby-Boulder,0.922349849048421,1995,2004,Func-extirpated,9
George Mountain,0.8296831506071873,2000,2002,Func-extirpated,2
Graham,0.9183170042688715,1989,2020,Extant,31
Hart North,0.9809890561346832,2003,2006,Extant,3
Hart South,0.9843033355767907,1988,2020,Extant,32
Itcha-Ilgachuz,0.9863683153723335,1979,2019,Extant,40
Kennedy Siding,0.9501010284885046,1993,2014,Extant,21
Klinse-Za,0.8713070879269955,1997,2013,Extant,16
Maligne,0.8849256938475497,1989,2014,Func-extirpated,25
Monashee,0.9205048588270012,1995,2011,Func-extirpated,16
Narraway AB,0.9445687287180158,2003,2016,Extant,13
Narraway BC,0.9430559404247283,2007,2021,Extant,14
Narrow Lake,0.927012620693984,2000,2021,Extant,21
North Cariboo,0.9819066464520321,1988,2021,Extant,33
Purcells Central,0.42935390067781576,1995,2005,Func-extirpated,10
Purcells South,0.9171850989553942,1993,2021,Func-extirpated,28
Quintette,0.9588842201498874,2003,2015,Extant,12
Rainbows,0.9680200977465768,1986,2021,Extant,35
Redrock/Prairie Creek,0.9664037656150479,1995,2015,Extant,20
South Selkirks,0.9455547267000692,1992,2015,Func-extirpated,23
Takla,0.9678693418264052,1994,2021,Extant,27
Telkwa,0.9596940852732362,1993,2021,Extant,28
Tonquin,0.8258760440841431,2004,2021,Extant,17
Tweedsmuir,0.9637168420654231,1985,2021,Extant,36
Wells Gray North,0.9690649375560818,1984,2021,Extant,37
Wells Gray South,0.9908137060666856,1986,2021,Extant,35
Wolverine,0.9995860436349325,1992,2021,Extant,29
